,A,2019-12-03,,,,,,644841,Photobacterium leiognathi subsp. mandapamensis,P,981935,txid48408,OR,
,A,2019-12-03,,,,,,644842,Photobacterium leiognathi subsp. leiognathi,P,981937,txid658,OR,
,A,2019-12-03,,,,,,644843,Photobacterium leiognathi,P,981938,txid553611,OR,
,A,2019-12-03,,,,,,644844,Photobacterium kishitanii,P,981939,txid318456,OR,
,A,2019-12-03,,,,,,644845,Photobacterium jeanii,P,981940,txid858640,OR,
,A,2019-12-03,,,,,,644846,Photobacterium indicum,P,981941,txid81447,OR,
,A,2019-12-03,,,,,,644847,Photobacterium iliopiscarium,P,981944,txid56192,OR,
,A,2019-12-03,,,,,,644848,Photobacterium halotolerans,P,981946,txid265726,OR,
,A,2019-12-03,,,,,,644849,Photobacterium ganghwense,P,981947,txid320778,OR,
,A,2019-12-03,,,,,,644850,Photobacterium galatheae,P,981948,txid1654360,OR,
,A,2019-12-03,,,,,,644851,Photobacterium gaetbulicola,P,981949,txid1295392,OR,
,A,2019-12-03,,,,,,641694,Lysobacter terrae,P,978092,txid1390358,OR,
,A,2019-12-03,,,,,,641695,Lysobacter taiwanensis,P,978093,txid362780,OR,
,A,2019-12-03,,,,,,641696,Lysobacter spongiicola,P,978094,txid435289,OR,
,A,2019-12-03,,,,,,641697,Lysobacter soli,P,978095,txid453783,OR,
,A,2019-12-03,,,,,,641698,Lysobacter solanacearum,P,978096,txid1929097,OR,
,A,2019-12-03,,,,,,641699,Lysobacter silvestris,P,978097,txid1645665,OR,
,A,2019-12-03,,,,,,641700,Lysobacter sediminicola,P,978098,txid1176534,OR,
,A,2019-12-03,,,,,,641701,Lysobacter ruishenii,P,978099,txid686800,OR,
,A,2019-12-03,,,,,,641702,Lysobacter ruipuensis,P,978100,txid714942,OR,
,A,2019-12-03,,,,,,641703,Lysobacter rhizosphaerae,P,978101,txid1537377,OR,
,A,2019-12-03,,,,,,640563,Sphingobacterium mizutaii,P,976480,txid1010,OR,
,A,2019-12-03,,,,,,640564,Sphingobacterium lactis,P,976484,txid797291,OR,
,A,2019-12-03,,,,,,640565,Sphingobacterium kyonggiense,P,976485,txid714075,OR,
,A,2019-12-03,,,,,,640345,Rheinheimera salexigens,P,976161,txid1628148,OR,
